#,Word,Count,Percent,Letters
104,christ,33,0.20%,6
105,might,33,0.10%,5
106,mind,33,0.10%,4
107,where,33,0.10%,5
108,place,32,0.10%,5
109,soon,32,0.10%,4
110,theres,31,0.10%,6
111,trust,31,0.10%,5
112,before,30,0.10%,6
113,cause,30,0.10%,5
114,please,30,0.10%,6
115,belong,29,0.10%,6
116,gave,29,0.10%,4
117,obey,29,0.10%,4
118,precious,29,0.20%,8
119,song,29,0.10%,4
120,walk,29,0.10%,4
121,brothers,28,0.20%,8
122,days,28,0.10%,4
123,lord,28,0.10%,4
124,must,28,0.10%,4
125,preach,28,0.10%,6
126,alone,27,0.10%,5
127,honor,27,0.10%,5
128,makes,27,0.10%,5
129,near,27,0.10%,4
130,psalm,27,0.10%,5
131,wont,27,0.10%,4
132,acts,26,0.10%,4
133,gives,26,0.10%,5
134,sure,26,0.10%,4
135,teach,26,0.10%,5
136,thank,26,0.10%,5
137,would,26,0.10%,5
138,back,25,0.10%,4
139,firm,25,0.10%,4
140,grow,25,0.10%,4
141,hand,25,0.10%,4
142,king,25,0.10%,4
143,luke,25,0.10%,4
144,matt,25,0.10%,4
145,should,25,0.10%,6
146,been,24,0.10%,4
147,learn,24,0.10%,5
148,long,24,0.10%,4
149,youll,24,0.10%,5
150,about,23,0.10%,5
151,eyes,23,0.10%,4
152,happy,23,0.10%,5
153,hard,23,0.10%,4
154,loving,23,0.10%,6
155,many,23,0.10%,4
156,means,23,0.10%,5
157,tell,23,0.10%,4
158,times,23,0.10%,5
159,youve,23,0.10%,5
160,courage,22,0.10%,7
161,holy,22,0.10%,4
162,made,22,0.10%,4
163,over,22,0.10%,4
164,side,22,0.10%,4
165,speak,22,0.10%,5
166,stay,22,0.10%,4
167,brings,21,0.10%,6
168,deep,21,0.10%,4
169,endure,21,0.10%,6
170,even,21,0.10%,4
171,gift,21,0.10%,4
172,guide,21,0.10%,5
173,really,21,0.10%,6
174,rejoice,21,0.10%,7
175,together,21,0.10%,8
176,whats,21,0.10%,5
177,bear,20,0.10%,4
178,blessings,20,0.10%,9
179,clear,20,0.10%,5
180,heard,20,0.10%,5
181,living,20,0.10%,6
182,matthew,20,0.10%,7
183,preaching,20,0.10%,9
184,rule,20,0.10%,4
185,said,20,0.10%,4
186,seek,20,0.10%,4
187,smile,20,0.10%,5
188,some,20,0.10%,4
189,someone,20,0.10%,7
190,study,20,0.10%,5
191,ways,20,0.10%,4
192,whatever,20,0.10%,8
193,ahead,19,0.10%,5
194,away,19,0.10%,4
195,declare,19,0.10%,7
196,delight,19,0.10%,7
197,glory,19,0.10%,5
198,still,19,0.10%,5
199,than,19,0.10%,4
200,thankful,19,0.10%,8
201,call,18,0.10%,4
202,comfort,18,0.10%,7
203,door,18,0.10%,4
204,glad,18,0.10%,4
205,kind,18,0.10%,4
206,knows,18,0.10%,5
207,search,18,0.10%,6
208,step,18,0.10%,4
209,young,18,0.10%,5
210,around,17,0.10%,6
211,comes,17,0.10%,5
212,giving,17,0.10%,6
213,making,17,0.10%,6
214,paradise,17,0.10%,8
215,part,17,0.10%,4
216,sons,17,0.10%,4
217,start,17,0.10%,5
218,think,17,0.10%,5
219,turn,17,0.10%,4
220,weve,17,0.10%,4
221,which,17,0.10%,5
222,wisdom,17,0.10%,6
223,along,16,0.10%,5
224,free,16,0.00%,4
225,meek,16,0.00%,4
226,mighty,16,0.10%,6
227,night,16,0.10%,5
228,weak,16,0.00%,4
229,blessed,15,0.10%,7
230,build,15,0.10%,5
231,favor,15,0.10%,5
232,forever,15,0.10%,7
233,future,15,0.10%,6
234,hands,15,0.10%,5
235,known,15,0.10%,5
236,last,15,0.00%,4
237,matter,15,0.10%,6
238,other,15,0.10%,5
239,others,15,0.10%,6
240,pace,15,0.00%,4
241,prov,15,0.00%,4
242,real,15,0.00%,4
243,thoughts,15,0.10%,8
244,anointed,14,0.10%,8
245,another,14,0.10%,7
246,choice,14,0.10%,6
247,devotion,14,0.10%,8
248,evryone,14,0.10%,7
249,fast,14,0.00%,4
250,follow,14,0.10%,6
251,hold,14,0.00%,4
252,phil,14,0.00%,4
253,power,14,0.10%,5
254,proclaim,14,0.10%,8
255,provides,14,0.10%,8
256,send,14,0.00%,4
257,sheep,14,0.10%,5
258,sisters,14,0.10%,7
259,thanks,14,0.10%,6
260,trusting,14,0.10%,8
261,witness,14,0.10%,7
262,worship,14,0.10%,7
263,again,13,0.00%,5
264,beyond,13,0.10%,6
265,dear,13,0.00%,4
266,direction,13,0.10%,9
267,doubt,13,0.00%,5
268,given,13,0.00%,5
269,heavens,13,0.10%,7
270,much,13,0.00%,4
271,nothing,13,0.10%,7
272,pain,13,0.00%,4
273,promised,13,0.10%,8
274,remember,13,0.10%,8
275,shown,13,0.00%,5
276,sight,13,0.00%,5
277,something,13,0.10%,9
278,today,13,0.00%,5
279,whom,13,0.00%,4
280,works,13,0.00%,5
281,afraid,12,0.10%,6
282,behind,12,0.10%,6
283,choose,12,0.10%,6
284,close,12,0.00%,5
285,commands,12,0.10%,8
286,creation,12,0.10%,8
287,death,12,0.00%,5
288,face,12,0.00%,4
289,first,12,0.00%,5
290,godly,12,0.00%,5
291,grateful,12,0.10%,8
292,heaven,12,0.10%,6
293,house,12,0.00%,5
294,imitate,12,0.10%,7
295,joyful,12,0.10%,6
296,loyally,12,0.10%,7
297,message,12,0.10%,7
298,most,12,0.00%,4
299,move,12,0.00%,4
300,myriads,12,0.10%,7
301,perfect,12,0.10%,7
302,serving,12,0.10%,7
303,such,12,0.00%,4
304,throne,12,0.10%,6
305,truly,12,0.00%,5
306,victory,12,0.10%,7
307,because,11,0.10%,7
308,both,11,0.00%,4
309,cannot,11,0.10%,6
310,forget,11,0.10%,6
311,forgive,11,0.10%,7
312,forward,11,0.10%,7
313,found,11,0.00%,5
314,goodness,11,0.10%,8
315,grand,11,0.00%,5
316,greater,11,0.10%,7
317,lives,11,0.00%,5
318,meet,11,0.00%,4
319,needs,11,0.00%,5
320,offer,11,0.00%,5
321,patience,11,0.10%,8
322,promise,11,0.10%,7
323,receive,11,0.10%,7
324,rest,11,0.00%,4
325,righteousness,11,0.10%,13
326,searching,11,0.10%,9
327,sees,11,0.00%,4
328,service,11,0.10%,7
329,sometimes,11,0.10%,9
330,tears,11,0.00%,5
331,tender,11,0.10%,6
332,trials,11,0.10%,6
333,unity,11,0.00%,5
334,very,11,0.00%,4
335,voice,11,0.00%,5
336,without,11,0.10%,7
337,witnesses,11,0.10%,9
338,become,10,0.00%,6
339,blessing,10,0.10%,8
340,brought,10,0.10%,7
341,cares,10,0.00%,5
342,christian,10,0.10%,9
343,daily,10,0.00%,5
344,daughters,10,0.10%,9
345,family,10,0.00%,6
346,happen,10,0.00%,6
347,hebrews,10,0.10%,7
348,home,10,0.00%,4
349,important,10,0.10%,9
350,kindness,10,0.10%,8
351,listen,10,0.00%,6
352,mercy,10,0.00%,5
353,nation,10,0.00%,6
354,only,10,0.00%,4
355,race,10,0.00%,4
356,reach,10,0.00%,5
357,remain,10,0.00%,6
358,sound,10,0.00%,5
359,spread,10,0.00%,6
360,stop,10,0.00%,4
361,tomorrow,10,0.10%,8
362,treasure,10,0.10%,8
363,understand,10,0.10%,10
364,until,10,0.00%,5
365,wholl,10,0.00%,5
366,wide,10,0.00%,4
367,wise,10,0.00%,4
368,within,10,0.00%,6
369,wrong,10,0.00%,5
370,bless,9,0.00%,5
371,course,9,0.00%,6
372,dedication,9,0.10%,10
373,determined,9,0.10%,10
374,enduring,9,0.10%,8
375,fame,9,0.00%,4
376,fill,9,0.00%,4
377,greatest,9,0.10%,8
378,heavenly,9,0.10%,8
379,hell,9,0.00%,4
380,integrity,9,0.10%,9
381,join,9,0.00%,4
382,joyfully,9,0.10%,8
383,land,9,0.00%,4
384,lifes,9,0.00%,5
385,loved,9,0.00%,5
386,merciful,9,0.10%,8
387,pass,9,0.00%,4
388,person,9,0.00%,6
389,raise,9,0.00%,5
390,read,9,0.00%,4
391,refuge,9,0.00%,6
392,salvation,9,0.10%,9
393,succeed,9,0.00%,7
394,takes,9,0.00%,5
395,taught,9,0.00%,6
396,teaching,9,0.10%,8
397,theyre,9,0.00%,6
398,troubles,9,0.10%,8
399,upon,9,0.00%,4
400,walking,9,0.00%,7
401,warm,9,0.00%,4
402,welcome,9,0.00%,7
403,wonders,9,0.00%,7
404,years,9,0.00%,5
405,among,8,0.00%,5
406,aside,8,0.00%,5
407,better,8,0.00%,6
408,birth,8,0.00%,5
409,brotherhood,8,0.10%,11
410,burden,8,0.00%,6
411,came,8,0.00%,4
412,carry,8,0.00%,5
413,christs,8,0.00%,7
414,confidence,8,0.10%,10
415,deut,8,0.00%,4
416,eccl,8,0.00%,4
417,everlasting,8,0.10%,11
418,evrything,8,0.10%,9
419,fall,8,0.00%,4
420,famly,8,0.00%,5
421,friendship,8,0.10%,10
422,full,8,0.00%,4
423,helps,8,0.00%,5
424,high,8,0.00%,4
425,imagine,8,0.00%,7
426,inside,8,0.00%,6
427,isaiah,8,0.00%,6
428,lead,8,0.00%,4
429,leave,8,0.00%,5
430,lift,8,0.00%,4
431,little,8,0.00%,6
432,lost,8,0.00%,4
433,nations,8,0.00%,7
434,open,8,0.00%,4
435,path,8,0.00%,4
436,proverbs,8,0.00%,8
437,pure,8,0.00%,4
438,ransom,8,0.00%,6
439,ready,8,0.00%,5
440,revelation,8,0.10%,10
441,road,8,0.00%,4
442,rules,8,0.00%,5
443,strengthen,8,0.10%,10
444,test,8,0.00%,4
445,thing,8,0.00%,5
446,tree,8,0.00%,4
447,voices,8,0.00%,6
448,waiting,8,0.00%,7
449,whole-souled,8,0.10%,12
450,accord,7,0.00%,6
451,almighty,7,0.00%,8
452,answer,7,0.00%,6
453,boldly,7,0.00%,6
454,book,7,0.00%,4
455,bright,7,0.00%,6
456,cant,7,0.00%,4
457,cherish,7,0.00%,7
458,command,7,0.00%,7
459,dark,7,0.00%,4
460,daughter,7,0.00%,8
461,depend,7,0.00%,6
462,deserving,7,0.00%,9
463,divine,7,0.00%,6
464,drawing,7,0.00%,7
465,easy,7,0.00%,4
466,escape,7,0.00%,6
467,fail,7,0.00%,4
468,faithfully,7,0.10%,10
469,feeling,7,0.00%,7
470,fight,7,0.00%,5
471,final,7,0.00%,5
472,firstborn,7,0.00%,9
473,fulfill,7,0.00%,7
474,grant,7,0.00%,5
475,guides,7,0.00%,6
476,holding,7,0.00%,7
477,hospitality,7,0.10%,11
478,into,7,0.00%,4
479,justice,7,0.00%,7
480,kindly,7,0.00%,6
481,looking,7,0.00%,7
482,mankind,7,0.00%,7
483,meditation,7,0.10%,10
484,moment,7,0.00%,6
485,paid,7,0.00%,4
486,planted,7,0.00%,7
487,pleasing,7,0.00%,8
488,possess,7,0.00%,7
489,praises,7,0.00%,7
490,privlege,7,0.00%,8
491,proud,7,0.00%,5
492,reason,7,0.00%,6
493,rise,7,0.00%,4
494,same,7,0.00%,4
495,sayings,7,0.00%,7
496,showed,7,0.00%,6
497,source,7,0.00%,6
498,stars,7,0.00%,5
499,stray,7,0.00%,5
500,throughout,7,0.10%,10
501,throw,7,0.00%,5
502,till,7,0.00%,4
503,told,7,0.00%,4
504,under,7,0.00%,5
505,weary,7,0.00%,5
506,women,7,0.00%,5
507,working,7,0.00%,7
508,worries,7,0.00%,7
509,worth,7,0.00%,5
510,zeal,7,0.00%,4
511,awake,6,0.00%,5
512,breath,6,0.00%,6
513,building,6,0.00%,8
514,called,6,0.00%,6
515,change,6,0.00%,6
516,changing,6,0.00%,8
517,congregation,6,0.10%,12
518,continue,6,0.00%,8
519,corinthians,6,0.10%,11
520,corner,6,0.00%,6
521,courageous,6,0.00%,10
522,deeds,6,0.00%,5
523,defend,6,0.00%,6
524,does,6,0.00%,4
525,doing,6,0.00%,5
526,earthly,6,0.00%,7
527,evrywhere,6,0.00%,9
528,feelings,6,0.00%,8
529,feet,6,0.00%,4
530,fills,6,0.00%,5
531,gets,6,0.00%,4
532,gifts,6,0.00%,5
533,gladly,6,0.00%,6
534,gracious,6,0.00%,8
535,grown,6,0.00%,5
536,head,6,0.00%,4
537,helping,6,0.00%,7
538,honored,6,0.00%,7
539,human,6,0.00%,5
540,humble,6,0.00%,6
541,imagination,6,0.10%,11
542,leap,6,0.00%,4
543,left,6,0.00%,4
544,lords,6,0.00%,5
545,loves,6,0.00%,5
546,meetings,6,0.00%,8
547,page,6,0.00%,4
548,passed,6,0.00%,6
549,peter,6,0.00%,5
550,possession,6,0.00%,10
551,prize,6,0.00%,5
552,proof,6,0.00%,5
553,protection,6,0.00%,10
554,prove,6,0.00%,5
555,quality,6,0.00%,7
556,reaching,6,0.00%,8
557,realize,6,0.00%,7
558,reminders,6,0.00%,9
559,revealed,6,0.00%,8
560,rich,6,0.00%,4
561,romans,6,0.00%,6
562,sacred,6,0.00%,6
563,safe,6,0.00%,4
564,seems,6,0.00%,5
565,servants,6,0.00%,8
566,shine,6,0.00%,5
567,shows,6,0.00%,5
568,sorrow,6,0.00%,6
569,sorts,6,0.00%,5
570,sovreign,6,0.00%,8
571,sovreignty,6,0.00%,10
572,starts,6,0.00%,6
573,taste,6,0.00%,5
574,thess,6,0.00%,5
575,theyve,6,0.00%,6
576,thinking,6,0.00%,8
577,united,6,0.00%,6
578,vain,6,0.00%,4
579,while,6,0.00%,5
580,wings,6,0.00%,5
581,wondrous,6,0.00%,8
582,youth,6,0.00%,5
583,anxieties,5,0.00%,9
584,appeal,5,0.00%,6
585,appear,5,0.00%,6
586,army,5,0.00%,4
587,assist,5,0.00%,6
588,bearing,5,0.00%,7
589,beauty,5,0.00%,6
590,begun,5,0.00%,5
591,believe,5,0.00%,7
592,beloved,5,0.00%,7
593,bible,5,0.00%,5
594,boldness,5,0.00%,8
595,brand,5,0.00%,5
596,bride,5,0.00%,5
597,children,5,0.00%,8
598,choices,5,0.00%,7
599,chron,5,0.00%,5
600,compare,5,0.00%,7
601,counsel,5,0.00%,7
602,danger,5,0.00%,6
603,darkness,5,0.00%,8
604,deed,5,0.00%,4
605,deliverance,5,0.00%,11
606,depends,5,0.00%,7
607,desire,5,0.00%,6
608,display,5,0.00%,7
609,dust,5,0.00%,4
610,earths,5,0.00%,6
611,endurance,5,0.00%,9
612,enemies,5,0.00%,7
613,eternal,5,0.00%,7
614,eternally,5,0.00%,9
615,fine,5,0.00%,4
616,force,5,0.00%,5
617,forgiving,5,0.00%,9
618,freely,5,0.00%,6
619,gain,5,0.00%,4
620,getting,5,0.00%,7
621,glorious,5,0.00%,8
622,gone,5,0.00%,4
623,growing,5,0.00%,7
624,guard,5,0.00%,5
625,happiness,5,0.00%,9
626,hears,5,0.00%,5
627,hide,5,0.00%,4
628,honest,5,0.00%,6
629,increase,5,0.00%,8
630,insight,5,0.00%,7
631,knowing,5,0.00%,7
632,lasting,5,0.00%,7
633,learned,5,0.00%,7
634,lies,5,0.00%,4
635,lose,5,0.00%,4
636,lowly,5,0.00%,5
637,maintain,5,0.00%,8
638,mark,5,0.00%,4
639,mean,5,0.00%,4
640,offers,5,0.00%,6
641,once,5,0.00%,4
642,ours,5,0.00%,4
643,past,5,0.00%,4
644,praying,5,0.00%,7
645,priceless,5,0.00%,9
646,provide,5,0.00%,7
647,provided,5,0.00%,8
648,reflect,5,0.00%,7
649,revealing,5,0.00%,9
650,river,5,0.00%,5
651,round,5,0.00%,5
652,sanctify,5,0.00%,8
653,save,5,0.00%,4
654,says,5,0.00%,4
655,seed,5,0.00%,4
656,seem,5,0.00%,4
657,seen,5,0.00%,4
658,shame,5,0.00%,5
659,sharing,5,0.00%,7
660,shepherd,5,0.00%,8
661,shines,5,0.00%,6
662,showing,5,0.00%,7
663,slave,5,0.00%,5
664,special,5,0.00%,7
665,steadfast,5,0.00%,9
666,support,5,0.00%,7
667,surely,5,0.00%,6
668,turning,5,0.00%,7
669,whether,5,0.00%,7
670,whole,5,0.00%,5
671,whose,5,0.00%,5
672,woman,5,0.00%,5
673,wondering,5,0.00%,9
674,yourself,5,0.00%,8
675,abound,4,0.00%,6
676,advice,4,0.00%,6
677,against,4,0.00%,7
678,angels,4,0.00%,6
679,assurance,4,0.00%,9
680,aware,4,0.00%,5
681,bears,4,0.00%,5
682,beautiful,4,0.00%,9
683,being,4,0.00%,5
684,beneath,4,0.00%,7
685,bold,4,0.00%,4
686,bread,4,0.00%,5
687,break,4,0.00%,5
688,brighter,4,0.00%,8
689,bringing,4,0.00%,8
690,brotherly,4,0.00%,9
691,calling,4,0.00%,7
692,cease,4,0.00%,5
693,chance,4,0.00%,6
694,closer,4,0.00%,6
695,commend,4,0.00%,7
696,consolation,4,0.00%,11
697,cord,4,0.00%,4
698,count,4,0.00%,5
699,dead,4,0.00%,4
700,dedicated,4,0.00%,9
701,deserve,4,0.00%,7
702,despair,4,0.00%,7
703,devil,4,0.00%,5
704,diffrent,4,0.00%,8
705,dwelling,4,0.00%,8
706,encourage,4,0.00%,9
707,ephesians,4,0.00%,9
708,eternity,4,0.00%,8
709,every,4,0.00%,5
710,example,4,0.00%,7
711,express,4,0.00%,7
712,faithfulness,4,0.00%,12
713,field,4,0.00%,5
714,filled,4,0.00%,6
715,finest,4,0.00%,6
716,flesh,4,0.00%,5
717,forevermore,4,0.00%,11
718,forgiveness,4,0.00%,11
719,going,4,0.00%,5
720,gold,4,0.00%,4
721,gotta,4,0.00%,5
722,gratitude,4,0.00%,9
723,harmony,4,0.00%,7
724,having,4,0.00%,6
725,hopes,4,0.00%,5
726,humbly,4,0.00%,6
727,hunger,4,0.00%,6
728,immovable,4,0.00%,9
729,impart,4,0.00%,6
730,invites,4,0.00%,7
731,josh,4,0.00%,4
732,kingdoms,4,0.00%,8
733,knowledge,4,0.00%,9
734,labor,4,0.00%,5
735,lamb,4,0.00%,4
736,learning,4,0.00%,8
737,lend,4,0.00%,4
738,letting,4,0.00%,7
739,mans,4,0.00%,4
740,matters,4,0.00%,7
741,meal,4,0.00%,4
742,millions,4,0.00%,8
743,miracle,4,0.00%,7
744,miss,4,0.00%,4
745,model,4,0.00%,5
746,mountain,4,0.00%,8
747,moves,4,0.00%,5
748,neighbor,4,0.00%,8
749,none,4,0.00%,4
750,pattern,4,0.00%,7
751,phone,4,0.00%,5
752,play,4,0.00%,4
753,praising,4,0.00%,8
754,prepared,4,0.00%,8
755,proudly,4,0.00%,7
756,purpose,4,0.00%,7
757,questions,4,0.00%,9
758,rain,4,0.00%,4
759,record,4,0.00%,6
760,reigning,4,0.00%,8
761,rejoicing,4,0.00%,9
762,rely,4,0.00%,4
763,renew,4,0.00%,5
764,respond,4,0.00%,7
765,righteous,4,0.00%,9
766,roots,4,0.00%,5
767,ruler,4,0.00%,5
768,rulership,4,0.00%,9
769,satan,4,0.00%,5
770,satans,4,0.00%,6
771,scripture,4,0.00%,9
772,season,4,0.00%,6
773,seasons,4,0.00%,7
774,seeking,4,0.00%,7
775,seemed,4,0.00%,6
776,self-control,4,0.00%,12
777,shared,4,0.00%,6
778,shield,4,0.00%,6
779,sides,4,0.00%,5
780,signs,4,0.00%,5
781,sincere,4,0.00%,7
782,singing,4,0.00%,7
783,sort,4,0.00%,4
784,soul,4,0.00%,4
785,starting,4,0.00%,8
786,steps,4,0.00%,5
787,stone,4,0.00%,5
788,street,4,0.00%,6
789,strive,4,0.00%,6
790,stumble,4,0.00%,7
791,sustain,4,0.00%,7
792,theirs,4,0.00%,6
793,theyll,4,0.00%,6
794,threefold,4,0.00%,9
795,timothy,4,0.00%,7
796,track,4,0.00%,5
797,tribe,4,0.00%,5
798,tried,4,0.00%,5
799,truths,4,0.00%,6
800,unending,4,0.00%,8
801,vowed,4,0.00%,5
802,vows,4,0.00%,4
803,wage,4,0.00%,4
804,wanted,4,0.00%,6
805,water,4,0.00%,5
806,weep,4,0.00%,4
807,worthy,4,0.00%,6
808,yield,4,0.00%,5
809,yoked,4,0.00%,5
810,abroad,3,0.00%,6
811,accept,3,0.00%,6
812,active,3,0.00%,6
813,adorned,3,0.00%,7
814,adversity,3,0.00%,9
815,affection,3,0.00%,9
816,aloud,3,0.00%,5
817,anxious,3,0.00%,7
818,apart,3,0.00%,5
819,appointed,3,0.00%,9
820,armageddon,3,0.00%,10
821,assured,3,0.00%,7
822,attributes,3,0.00%,10
823,begin,3,0.00%,5
824,below,3,0.00%,5
825,beside,3,0.00%,6
826,bestow,3,0.00%,6
827,blame,3,0.00%,5
828,blind,3,0.00%,5
829,bond,3,0.00%,4
830,bone,3,0.00%,4
831,bought,3,0.00%,6
832,brother,3,0.00%,7
833,burdens,3,0.00%,7
834,calm,3,0.00%,4
835,carrying,3,0.00%,8
836,challenge,3,0.00%,9
837,child,3,0.00%,5
838,chosen,3,0.00%,6
839,clearly,3,0.00%,7
840,clouds,3,0.00%,6
841,comforted,3,0.00%,9
842,commanded,3,0.00%,9
843,commandments,3,0.00%,12
844,confident,3,0.00%,9
845,cost,3,0.00%,4
846,crowd,3,0.00%,5
847,dearly,3,0.00%,6
848,decide,3,0.00%,6
849,decree,3,0.00%,6
850,doesnt,3,0.00%,6
851,downhearted,3,0.00%,11
852,downs,3,0.00%,5
853,draw,3,0.00%,4
854,drink,3,0.00%,5
855,dwell,3,0.00%,5
856,ears,3,0.00%,4
857,ecclesiastes,3,0.00%,12
858,encouragement,3,0.00%,13
859,endless,3,0.00%,7
860,endures,3,0.00%,7
861,enjoy,3,0.00%,5
862,exalt,3,0.00%,5
863,exodus,3,0.00%,6
864,ezek,3,0.00%,4
865,faces,3,0.00%,5
866,favored,3,0.00%,7
867,fears,3,0.00%,5
868,feed,3,0.00%,4
869,fire,3,0.00%,4
870,focus,3,0.00%,5
871,foes,3,0.00%,4
872,follows,3,0.00%,7
873,foretold,3,0.00%,8
874,forgotten,3,0.00%,9
875,forth,3,0.00%,5
876,fresh,3,0.00%,5
877,fully,3,0.00%,5
878,gathered,3,0.00%,8
879,gathering,3,0.00%,9
880,goal,3,0.00%,4
881,golden,3,0.00%,6
882,granted,3,0.00%,7
883,gray-headedness,3,0.00%,15
884,greatness,3,0.00%,9
885,groaning,3,0.00%,8
886,harm,3,0.00%,4
887,harvest,3,0.00%,7
888,hate,3,0.00%,4
889,heal,3,0.00%,4
890,highest,3,0.00%,7
891,hill,3,0.00%,4
892,impartiality,3,0.00%,12
893,inspired,3,0.00%,8
894,intensely,3,0.00%,9
895,intentions,3,0.00%,10
896,invitation,3,0.00%,10
897,joys,3,0.00%,4
898,kids,3,0.00%,4
899,knew,3,0.00%,4
900,laud,3,0.00%,4
901,leads,3,0.00%,5
902,leaves,3,0.00%,6
903,loss,3,0.00%,4
904,loud,3,0.00%,4
905,loyalty,3,0.00%,7
906,meeting,3,0.00%,7
907,mildness,3,0.00%,8
908,million,3,0.00%,7
909,minds,3,0.00%,5
910,ministry,3,0.00%,8
911,mountains,3,0.00%,9
912,moving,3,0.00%,6
913,myself,3,0.00%,6
914,newborn,3,0.00%,7
915,often,3,0.00%,5
916,opposition,3,0.00%,10
917,order,3,0.00%,5
918,origin,3,0.00%,6
919,outside,3,0.00%,7
920,overtake,3,0.00%,8
921,pearl,3,0.00%,5
922,persons,3,0.00%,7
923,philippians,3,0.00%,11
924,plea,3,0.00%,4
925,ponder,3,0.00%,6
926,possibly,3,0.00%,8
927,preserve,3,0.00%,8
928,price,3,0.00%,5
929,prophets,3,0.00%,8
930,protect,3,0.00%,7
931,proved,3,0.00%,6
932,provider,3,0.00%,8
933,proving,3,0.00%,7
934,provision,3,0.00%,9
935,pulling,3,0.00%,7
936,qualities,3,0.00%,9
937,reality,3,0.00%,7
938,reasons,3,0.00%,7
939,refine,3,0.00%,6
940,refreshed,3,0.00%,9
941,refreshing,3,0.00%,10
942,refuse,3,0.00%,6
943,regret,3,0.00%,6
944,reign,3,0.00%,5
945,reigns,3,0.00%,6
946,remaining,3,0.00%,9
947,replaced,3,0.00%,8
948,resentment,3,0.00%,10
949,reward,3,0.00%,6
950,rock,3,0.00%,4
951,rolling,3,0.00%,7
952,running,3,0.00%,7
953,sacrifice,3,0.00%,9
954,saving,3,0.00%,6
955,scriptures,3,0.00%,10
956,secure,3,0.00%,6
957,servant,3,0.00%,7
958,shares,3,0.00%,6
959,shelter,3,0.00%,7
960,shepherds,3,0.00%,9
961,shining,3,0.00%,7
962,shoulder,3,0.00%,8
963,shout,3,0.00%,5
964,simple,3,0.00%,6
965,since,3,0.00%,5
966,sinful,3,0.00%,6
967,sink,3,0.00%,4
968,sins,3,0.00%,4
969,sleep,3,0.00%,5
970,slips,3,0.00%,5
971,slow,3,0.00%,4
972,small,3,0.00%,5
973,songs,3,0.00%,5
974,speaks,3,0.00%,6
975,spend,3,0.00%,5
976,standing,3,0.00%,8
977,stands,3,0.00%,6
978,stare,3,0.00%,5
979,stick,3,0.00%,5
980,store,3,0.00%,5
981,storms,3,0.00%,6
982,stream,3,0.00%,6
983,strife,3,0.00%,6
984,stronger,3,0.00%,8
985,stronghold,3,0.00%,10
986,succeeds,3,0.00%,8
